,job_title,job_link,company_name,salary,job_location,job_requirements,job_classifiation,short_description,salary_ind
0,Registered Electrician / Service Electricians,/job/55303114?type=promoted#searchRequestToken=f8d0fa8c-fa8b-4579-b73e-b804691d14ef,RSB Electrical,,Auckland,"['Large stable company', 'Locally owned', 'Fun loving team environment . challenging role']",Trades & Services,"Required focused, motivated Registered Electricians to make an impact on our  workforce",0-60000
1,CX Data Analyst,/job/55103126?type=promoted#searchRequestToken=f8d0fa8c-fa8b-4579-b73e-b804691d14ef,Perceptive,,Auckland,"['Gain experience working at an innovative and award-winning agency.', 'Work with some of the sharpest minds in the Customer Intelligence industry.', 'Be empowered to share your ideas.']",Marketing & Communications,We are looking for a talented Data Analyst whose attention to detail is second to none to join our team. Is that you? Keep reading to find out...,0-60000
2,Data Analyst,/job/55255686?type=standout#searchRequestToken=f8d0fa8c-fa8b-4579-b73e-b804691d14ef,RELX,,Auckland,"['An opportunity to work for a leading global organisation.', 'New Zealand or Australia based full time role.', 'Interesting, varied, and challenging work with well-defined career pathways.']",Information & Communication Technology,As a Data Analyst for LexisNexis you will be a true Business Partner to our executive level stakeholders gathering and delivering requirements.,0-60000
3,Data Analyst Temps,/job/55298099?type=standard#searchRequestToken=f8d0fa8c-fa8b-4579-b73e-b804691d14ef,Your People Recruitment Limited,$25 - $28.00 per hour,Otago,,Accounting,If you are great with data and you are looking for l/term temp work starting soon or Jan 2022 contact Your People. Multiple roles available NOW!,0-60000
4,Data Analyst - Roster Support,/job/55290844?type=standout#searchRequestToken=f8d0fa8c-fa8b-4579-b73e-b804691d14ef,Canterbury District Health Board,,Canterbury,"['x2 12 month fixed-term positions available with the Roster Support Team.', 'Analysing and monitoring data trends and patterns to identify root causes.', 'Delivering customer-centric service with consistent advice and processes.']",Government & Defence,Excellent opportunity to join the team on a fixed-term basis.,0-60000
5,Data Analyst,/job/55258441?type=standout#searchRequestToken=f8d0fa8c-fa8b-4579-b73e-b804691d14ef,Cavanagh & Associates Ltd,"Experienced using SQL, ""R"", Python",Auckland,"['Analytical thinker / problem solver able to analyse data to achieve outcomes', 'Role involves management and interpreting data and providing creative solutions', 'Required: Bachelor’s degree in Business Administration, Statistics or Marketing']",Information & Communication Technology,"Bring your problem-solving and statistical methodologies, techniques, and database management expertise to the table. Great opportunity and great team",0-60000
6,Data Operations Specialist,/job/55307079?type=standout#searchRequestToken=f8d0fa8c-fa8b-4579-b73e-b804691d14ef,Team Recruitment,NZD50000 - NZD55000 per annum,Auckland,"['Get your data analysis career started', 'Dynamic and fast paced supply chain environment', 'Training and career development']",Information & Communication Technology,"Entry level role to kick start your career. Dynamic, data driven learning environment within supply chain",0-60000
7,Data Analyst,/job/55260534?type=standout#searchRequestToken=f8d0fa8c-fa8b-4579-b73e-b804691d14ef,Health Quality and Safety Commission,,Wellington,"['Are you passionate about the complexities of measuring quality in healthcare?', 'Bring your ability to progress work in a positive and helpful manner', 'Join a company who celebrates inclusion and diversity in all areas of culture']",Healthcare & Medical,We are recruiting an Analyst/Data Scientist in the Health Quality Intelligence team on a permanent contract.,0-60000
8,Graduate Data Analyst,/job/55199718?type=standard#searchRequestToken=f8d0fa8c-fa8b-4579-b73e-b804691d14ef,EMERGENT,,Auckland,,Information & Communication Technology,We have an exciting permanent opportunity to join a rapidly growing company that is based in Newmarket.,0-60000
10,Data Support Engineer - Christchurch CBD,/job/55317204?type=standout#searchRequestToken=f8d0fa8c-fa8b-4579-b73e-b804691d14ef,Datastar,"$55,000 - $60,000",Canterbury,"['6.5 hours work day.', 'New offices in the vibrant Christchurch SALT district.', 'Fun and friendly team.']",Information & Communication Technology,Join Datastar and start the new year by beating the normal 9-5 work day!  We are looking for motivated Data Support Engineers to join our team.,0-60000
11,Data Administrator - Summer Opportunity,/job/55321605?type=standout#searchRequestToken=f8d0fa8c-fa8b-4579-b73e-b804691d14ef,Silver Fern Farms,,Northland,"['Opportunity to see how our industry processes work', 'Do you have an eye for detail? This Admin role will suit you!', 'Great with numbers? Help improve our processes']",Administration & Office Support,Summer opportunity for a super efficient data collector to join our whanau - Great opportunity to see how our industry processes work,0-60000
12,Tactical Intelligence Analyst,/job/55306368?type=standout#searchRequestToken=f8d0fa8c-fa8b-4579-b73e-b804691d14ef,New Zealand Police,"INTELA4D $61,113.00 - $79,087.00",Waikato,,Government & Defence,Tactical Intelligence Analyst,0-60000
13,Student Data Administrator,/job/55238950?type=standout#searchRequestToken=f8d0fa8c-fa8b-4579-b73e-b804691d14ef,Toi Ohomai Institute of Technology,,Bay of Plenty,"['Permanent Part Time', '3 days per week (0.6 FTE)', 'Tauranga']",Administration & Office Support,We are currently seeking an amazing Student Data Administrator to join our busy Data Centre team within the Student Administration Services Team.,0-60000
14,Junior Business Intelligence Analyst,/job/55279892?type=standout#searchRequestToken=f8d0fa8c-fa8b-4579-b73e-b804691d14ef,Crew Consulting,"$50,000 - $70,000",Otago,"['Gain experience in a complex environment', 'Learn while earn with training and support', 'Join an organisation making a difference']",Information & Communication Technology,Junior BI Analyst required to join a busy team to help deliver on data-focused outcomes across the business.,0-60000
15,Junior Business Analyst,/job/55260055?type=standard#searchRequestToken=f8d0fa8c-fa8b-4579-b73e-b804691d14ef,Employers & Manufacturers Assn.,,Auckland,,Sales,"We have an exciting opportunity for a Junior Business Analyst to support our Membership team in gathering, analyzing, and documenting data information",0-60000
16,Vendor Master Data Administrator,/job/55308533?type=standout#searchRequestToken=f8d0fa8c-fa8b-4579-b73e-b804691d14ef,Zespri International Limited,,Bay of Plenty,"['12 month fixed term contract', 'Join a small cohesive Shared Services team', 'Flexible working encouraged']",Accounting,"Due to an internal secondment, Zespri are seeking an accounts superstar who has exceptional attention to detail and is a team player.",0-60000
